district,state,pop_below_15,sex_ratio,sex_ratio_birth,hh_elec,hh_drnk_water,hh_sanitation,hh_fuel,hh_salt,hh_health_insurance,women_10yr_school,women_premarried,women_earlymother,women_menstrual,fam_contra,fam_modern_contra,fam_female_ster,fam_IUD,fam_pill,fam_condom,fam_injectibles,fam_unmet_need,fam_healthworkers,fam_sideeffects,mother_antenatal,mother_neonatal,mother_folic,mother_MCP,delivery_expense,institutional_birth,births_csection,child_vaccinated,child_public_vaccinated,child_private_vaccinated,child_diarrhoea,child_resp,child_diet,child_stunted,child_wasted,child_severely_wasted,child_underwght,child_overwght,women_lowBMI,women_highBMI,women_high_wh,child_anaemic,women_anaemic,young_women_anaemic,women_highBS,men_highBS,women_highBP,men_highBP,women_cervical,women_breast,women_oral,women_tobbaco,men_tobbaco,women_alc,men_alc,HDI,st,dc
Chennai,Tamil Nadu,18.01,1037.32,858.75,99.89,98.72,90.43,97.71,96.96,58.23,76.72,1.94,2.97,100.0,65.84,63.64,55.68,4.86,0.0,1.72,0.0,6.86,22.99,86.58,89.86,96.12,75.53,96.78,3950.98,60.06,50.51,100,74.83,25.17,4.12,1.02,15.06,20.35,18.33,7.58,21.85,9.38,7.4,41.85,59.52,55.25,50.28,52.77,27.2,22.13,28.79,33.22,8.64,6.3,1.08,0.73,8.93,0.1,16.14,0.983,33.0,2.0
Kancheepuram,Tamil Nadu,19.19,1001.69,888.67,99.42,99.42,75.86,88.06,88.84,59.7,56.78,9.98,2.47,97.75,69.28,67.31,59.64,4.73,0.15,2.3,0.17,7.17,15.69,62.09,76.07,76.77,47.93,97.57,3531.4,68.53,40.21,81.5,83.08,16.92,3.1,2.25,21.73,20.58,15.73,6.93,19.81,3.03,12.61,46.44,48.91,68.81,56.97,62.7,22.91,24.27,24.33,31.96,6.82,6.76,1.71,4.45,17.47,0.76,28.91,0.912,33.0,3.0
Vellore,Tamil Nadu,22.41,1070.35,721.59,99.3,97.68,76.2,85.3,93.78,71.36,52.45,14.89,4.85,98.53,65.15,63.2,59.45,3.14,0.0,0.47,0.15,6.69,32.65,98.91,95.4,96.77,84.58,100.0,2272.37,67.64,42.43,97.18,86.12,13.88,2.81,0.3,9.9,29.8,13.05,2.48,19.69,4.17,11.37,45.38,51.54,60.91,50.59,47.17,20.44,21.41,25.93,25.57,1.75,0.51,0.2,4.33,14.39,0.32,23.0,0.935,33.0,4.0
Tiruvannamalai,Tamil Nadu,20.94,1108.56,847.8,99.04,98.53,61.69,70.74,90.27,69.6,50.17,11.64,8.49,98.67,71.86,68.65,64.49,3.06,0.0,0.95,0.15,5.09,27.98,76.88,97.65,94.26,63.49,100.0,2723.75,85.8,27.7,92.55,100,0.01,5.97,2.56,3.61,30.63,14.8,3.95,24.96,3.27,12.63,37.75,50.29,64.66,56.55,49.25,18.77,21.81,19.2,25.82,7.96,4.25,0.61,4.82,17.18,0.16,24.21,0.856,33.0,5.0
Viluppuram,Tamil Nadu,24.77,1119.57,915.6,99.73,98.37,53.83,68.64,88.05,77.56,45.72,19.01,7.92,98.33,71.58,68.61,62.57,3.22,0.74,1.3,0.15,7.4,24.6,75.81,94.88,95.42,44.83,96.0,3254.7,84.26,28.03,81.63,91.13,8.87,5.56,1.36,19.77,23.88,12.38,3.42,20.52,0.0,17.16,37.02,44.95,73.41,62.53,67.15,17.69,19.91,19.02,26.1,14.7,8.84,3.67,8.8,25.13,0.15,38.12,0.832,33.0,6.0
Salem,Tamil Nadu,20.09,1057.14,900.12,99.52,97.64,64.51,84.48,95.74,67.49,51.29,23.68,8.86,98.6,68.97,64.13,55.95,3.96,1.07,2.05,0.55,5.6,41.68,86.77,85.04,89.31,50.75,100.0,3964.95,63.72,43.04,81.84,84.5,15.5,0.72,1.55,6.73,23.62,10.06,4.32,20.77,6.34,10.12,40.27,52.97,51.33,46.33,40.89,18.03,22.74,26.64,33.99,15.6,14.55,1.7,6.46,23.49,0.24,24.14,0.894,33.0,7.0
Namakkal,Tamil Nadu,17.3,1142.4,1130.43,99.24,99.45,75.23,89.66,95.71,68.76,55.66,14.24,6.52,97.77,65.15,62.33,55.29,4.13,0.0,1.91,0.6,6.51,32.93,85.47,97.83,96.33,71.04,100.0,3435.49,59.81,53.72,84.38,91.03,8.97,3.99,0.0,12.85,25.21,10.33,4.26,15.67,6.27,9.44,43.23,58.27,67.92,51.93,50.34,19.74,24.03,25.58,31.45,1.74,0.98,0.0,6.58,19.8,0.06,27.06,0.917,33.0,8.0
Erode,Tamil Nadu,18.18,1112.41,807.1,99.6,98.9,67.64,95.9,97.58,77.67,57.8,13.7,14.79,98.66,70.59,67.43,61.34,3.63,0.42,1.76,0.16,4.94,51.51,96.38,93.93,97.54,51.34,100.0,2400.98,51.43,48.49,97.22,92.25,7.75,1.53,0.0,19.06,19.39,20.86,11.17,26.87,2.79,11.36,37.05,58.45,46.46,55.43,64.15,16.59,16.1,29.51,36.07,15.07,8.69,0.67,11.12,26.19,0.12,23.54,0.894,33.0,9.0
The Nilgiris,Tamil Nadu,19.72,1092.59,1035.36,98.61,96.43,83.58,81.47,98.37,74.54,63.38,11.08,4.53,96.67,77.91,74.65,68.86,4.46,0.15,0.96,0.11,6.0,35.25,88.9,92.46,94.1,76.37,99.42,3437.97,62.2,42.29,98.03,92.14,7.86,1.33,0.0,18.79,26.66,17.26,7.74,23.23,8.54,10.81,39.49,62.2,45.85,44.17,37.73,13.62,15.01,34.24,32.88,23.22,12.27,1.2,6.75,21.48,1.07,25.87,0.935,33.0,10.0
Dindigul,Tamil Nadu,24.37,1065.81,815.79,98.79,99.47,61.04,76.3,81.61,71.92,50.06,20.46,8.64,98.86,74.17,71.39,62.22,6.91,0.76,1.08,0.29,6.28,29.8,84.84,96.21,87.38,63.59,99.05,2828.33,74.55,33.29,96.39,98.52,1.48,2.32,0.37,20.69,27.09,21.11,8.17,28.41,2.18,12.94,38.48,71.55,50.21,42.61,41.44,22.13,25.13,25.67,34.17,5.78,2.08,0.66,6.53,27.71,0.09,26.03,0.837,33.0,11.0
Karur,Tamil Nadu,19.12,1154.12,839.07,98.69,99.36,63.56,72.46,94.23,74.6,51.21,13.29,3.32,97.87,65.81,63.48,58.27,3.91,0.0,0.88,0.43,7.52,30.31,77.63,95.7,82.7,46.43,97.33,2586.46,56.79,47.78,84.04,97.69,2.31,5.63,0.68,13.32,33.61,18.42,8.69,36.28,2.37,17.88,34.71,53.26,73.15,65.04,60.68,23.4,28.91,24.11,29.08,12.12,5.78,0.21,5.86,25.53,0.35,28.97,0.869,33.0,12.0
Tiruchirappalli,Tamil Nadu,21.48,1122.99,918.84,98.98,98.08,67.12,71.15,94.17,67.75,57.09,13.48,4.51,96.46,68.12,61.51,49.57,6.81,1.08,2.6,0.56,11.09,27.98,87.84,90.51,92.23,66.21,98.84,2593.29,65.31,41.03,89.43,100,0.01,5.22,1.4,12.4,27.55,20.88,8.6,27.37,3.08,16.65,33.5,62.46,82.34,62.37,64.69,22.72,26.48,21.4,28.93,11.18,5.38,2.15,3.51,19.78,0.43,25.72,0.886,33.0,13.0
Perambalur,Tamil Nadu,22.57,1209.51,886.87,99.07,100.0,57.38,75.13,92.69,75.53,48.97,21.36,7.65,97.76,63.1,58.85,48.74,7.69,0.55,0.85,0.0,11.39,30.19,83.32,92.19,94.09,57.27,99.35,3707.46,69.54,50.3,93.96,100,0.01,4.28,0.0,12.62,29.12,15.85,4.23,22.26,2.94,18.0,32.88,46.35,69.23,66.06,61.55,21.02,23.24,19.79,26.1,17.23,10.32,3.3,5.49,20.33,0.22,29.05,0.879,33.0,14.0
Ariyalur,Tamil Nadu,22.39,1143.08,807.24,98.22,93.19,54.64,46.69,81.57,71.13,50.7,12.4,11.54,97.95,61.41,60.15,49.57,8.28,0.0,0.85,0.12,6.97,31.44,86.85,91.43,88.44,70.8,100.0,4663.79,72.05,57.27,90.75,95.86,4.14,5.59,0.0,11.66,25.33,15.06,4.37,20.07,1.6,15.55,33.3,49.19,61.99,62.42,58.79,22.01,24.7,20.63,27.53,5.59,4.34,0.42,8.7,20.74,0.07,28.07,0.792,33.0,15.0
Cuddalore,Tamil Nadu,22.92,1061.53,819.12,99.16,99.49,61.32,75.61,88.1,64.4,50.13,12.64,4.94,99.12,65.33,63.45,58.09,2.71,0.36,1.83,0.0,9.19,24.03,75.08,82.22,88.08,52.58,98.29,3803.49,72.5,51.36,77.26,97.23,2.77,3.35,1.57,23.17,20.22,13.93,3.96,17.98,1.57,14.76,35.13,55.16,64.79,58.57,55.62,20.53,20.68,20.11,26.97,7.05,4.57,0.61,7.54,24.42,0.57,32.63,0.849,33.0,16.0
Nagapattinam,Tamil Nadu,20.82,1148.26,799.16,98.97,100.0,69.57,59.03,93.31,70.85,53.73,6.29,5.16,96.18,65.86,61.93,53.89,5.82,0.14,1.77,0.15,8.51,20.9,70.42,93.13,93.02,61.34,100.0,4654.92,69.03,49.43,94.6,86.37,13.63,5.7,2.47,14.35,32.28,12.47,4.7,24.33,0.84,19.44,31.86,45.61,60.91,62.64,58.84,19.42,19.91,24.46,32.05,15.73,10.97,2.19,10.36,24.88,0.26,34.34,0.807,33.0,17.0
Thiruvarur,Tamil Nadu,19.62,1130.88,900.93,98.6,100.0,71.02,58.94,94.58,75.24,57.47,9.1,2.74,98.41,70.2,66.73,59.04,4.27,0.3,1.63,0.0,9.6,26.2,78.38,92.33,86.8,65.45,97.22,4590.47,62.73,60.63,97.05,91.92,8.08,4.3,0.67,18.72,19.75,18.37,6.77,21.5,2.99,15.43,37.15,58.91,45.04,58.2,48.99,26.52,25.92,23.79,31.02,17.7,10.39,0.73,11.53,24.28,0.35,32.22,0.841,33.0,18.0
Thanjavur,Tamil Nadu,19.58,1111.66,933.7,98.84,99.67,79.62,69.42,95.26,70.63,54.33,4.14,8.43,98.16,64.79,60.64,51.69,4.9,0.24,2.62,0.26,9.45,23.34,66.03,93.66,89.45,67.15,99.02,3425.22,59.48,51.36,66.74,89.76,10.24,4.77,2.59,18.21,19.55,8.34,3.67,21.88,4.94,12.7,42.76,54.84,64.84,59.04,59.96,23.31,28.95,28.81,34.58,9.02,4.47,2.17,7.58,22.41,0.45,30.01,0.882,33.0,19.0
Pudukkottai,Tamil Nadu,23.72,1095.16,803.99,98.85,95.71,55.21,42.01,90.56,72.91,52.2,11.57,11.29,95.11,67.95,64.28,55.76,6.02,0.67,1.21,0.0,12.18,24.59,82.25,91.64,89.91,53.31,99.15,2610.47,68.56,41.15,75.91,93.55,6.45,5.1,3.3,22.26,32.2,9.54,1.61,21.62,2.79,20.32,31.95,59.81,71.05,62.53,61.75,18.49,22.96,22.98,30.23,13.38,7.59,2.48,7.59,28.29,0.75,31.73,0.784,33.0,20.0
Sivaganga,Tamil Nadu,21.76,1223.33,1126.82,99.42,96.47,74.39,75.15,93.16,67.72,59.92,4.47,9.58,99.93,67.3,66.05,59.71,4.92,0.0,0.54,0.17,7.03,27.03,88.53,90.89,76.12,64.69,99.33,3143.15,73.33,43.16,81.54,100,0.01,2.6,0.0,15.96,27.62,22.78,11.62,28.37,9.12,12.66,33.39,60.21,56.37,51.52,36.4,22.72,26.2,21.95,25.97,3.35,1.52,0.21,2.37,17.53,0.43,22.99,0.878,33.0,21.0
Madurai,Tamil Nadu,19.92,1079.13,814.62,98.91,98.71,80.05,91.18,88.39,66.29,58.55,11.46,3.95,98.17,69.69,68.44,58.33,6.4,0.56,3.14,0.0,8.72,21.54,88,89.47,85.59,59.71,100.0,3317.29,70.02,43.8,92.92,92.8,7.2,4.3,0.6,25.03,32.39,9.49,3.87,21.51,4.7,12.22,40.82,58.18,54.32,47.99,46.85,21.19,22.66,25.55,31.8,12.07,2.37,0.41,0.77,20.3,0.43,24.54,0.916,33.0,22.0
Theni,Tamil Nadu,23.77,1168.4,1056.58,99.4,99.88,74.43,89.94,76.78,67.35,56.93,16.04,13.52,99.67,70.61,67.1,56.14,8.15,0.28,1.79,0.49,7.32,32.08,88.74,98.65,90.02,60.25,100.0,1772.73,81.66,43.65,95.18,94.65,3.92,3.81,0.2,17.25,20.22,15.54,6.56,18.83,4.15,10.33,45.23,73.35,46.78,41.16,35.5,22.9,23.09,28.73,35.58,9.11,4.9,0.51,4.29,21.29,0.27,23.03,0.917,33.0,23.0
Virudhunagar,Tamil Nadu,21.36,1109.45,729.68,99.52,97.41,59.78,90.51,89.53,51.27,53.52,15.47,3.56,97.3,68.1,66.29,61.16,3.05,0.17,1.0,0.47,6.37,23.12,71.93,83.4,86.34,58.29,99.34,2607.37,66.31,50.02,77.73,95.25,4.75,9.32,0.0,18.47,29.22,14.42,7.6,23.67,6.82,14.1,37.42,51.86,58.9,56.88,59.71,19.23,21.55,20.17,22.89,2.16,1.77,0.81,1.82,18.77,0.45,22.77,0.857,33.0,24.0
Ramanathapuram,Tamil Nadu,24.41,1146.99,787.09,99.3,93.89,78.62,82.73,90.64,69.74,53.73,14.71,5.95,98.34,72.16,68.08,56.59,6.52,0.99,2.49,0.76,7.92,28.04,82.73,88.22,89.12,56.02,100.0,3729,72.52,47.45,91.14,93.31,6.69,3.31,0.0,19.85,26.43,17.68,5.99,21.62,6.3,15.65,34.06,66.92,57.19,53.55,52.19,17.18,20.16,23.26,28.18,12.78,5.31,0.42,1.11,22.84,0.55,29.94,0.89,33.0,25.0
Thoothukkudi,Tamil Nadu,20.89,1110.83,733.54,100.0,96.97,79.42,90.67,88.98,57.78,59.52,8.88,0.94,99.42,67.57,63.76,52.44,6.58,0.28,3.94,0.38,8.09,28.84,90.78,80.66,89.07,70.44,100.0,3179.84,59.09,52.0,100,93.2,6.8,4.78,0.73,19.89,20.34,18.41,7.7,20.95,6.69,11.9,43.4,57.85,55.62,55.93,44.29,21.98,25.38,24.49,28.2,3.93,1.69,0.42,1.42,18.54,0.31,21.63,0.916,33.0,26.0
Tirunelveli,Tamil Nadu,22.05,1109.06,938.86,99.51,98.08,79.78,87.86,89.92,61.27,54.18,10.69,4.32,97.15,69.75,64.37,55.35,5.0,0.0,2.7,0.32,7.12,23.52,77.4,84.97,90.76,65.51,98.03,3281.29,47.22,60.2,95.49,90.81,9.19,2.69,0.0,8.73,29.39,11.99,3.06,22.71,3.68,13.5,40.19,58.79,49.87,51.02,54.53,20.95,22.25,22.05,25.45,18.91,5.49,0.18,0.72,16.3,0.0,17.34,0.913,33.0,27.0
Kanniyakumari,Tamil Nadu,20.79,1121.33,880.11,99.84,98.19,96.18,74.38,97.24,64.1,77.1,4.32,3.99,98.64,70.34,66.56,60.75,2.92,0.0,1.52,0.0,4.87,29.78,86.82,84.21,87.05,74.04,97.33,3170.06,39.35,68.27,96.04,81.9,18.1,0.92,0.0,22.11,17.31,11.38,2.65,14.45,2.81,5.89,53.01,66.32,39.09,45.55,39.29,29.04,25.18,24.36,30.21,13.06,3.93,0.84,1.04,11.04,0.17,14.75,0.963,33.0,28.0
Dharmapuri,Tamil Nadu,23.78,1191.83,1051.91,99.41,98.72,72.35,82.47,93.44,75.45,54.41,16.74,6.41,97.48,70.03,68.03,61.07,6.43,0.0,0.42,0.0,8.52,36.27,95.52,94.49,95.9,73.53,100.0,2808.49,73.02,29.05,96.11,97.81,2.19,3.17,0.0,8.11,28.71,16.91,6.52,23.21,8.91,12.91,33.38,46.5,54.15,42.5,31.89,15.37,18.1,25.83,30.8,1.75,1.21,0.83,7.87,24.57,0.69,26.78,0.894,33.0,29.0
Krishnagiri,Tamil Nadu,24.21,1053.05,856.92,99.16,99.77,75.94,86.0,95.18,73.58,53.86,20.29,9.53,98.05,69.95,67.69,60.7,6.02,0.0,0.43,0.39,4.89,40.16,98.7,93.12,93.74,74.34,99.47,2080.5,75.91,31.88,90.26,98.45,1.55,1.06,0.42,7.09,29.03,10.4,4.68,19.32,10.08,11.71,34.5,51.22,46.51,43.96,39.41,14.03,15.04,23.5,25.33,0.91,0.41,0.57,8.22,20.3,0.22,22.66,0.888,33.0,30.0
Coimbatore,Tamil Nadu,19.25,1061.15,951.63,99.42,99.9,78.45,95.45,98.82,60.99,62.8,19.75,10.3,99.67,66.46,61.97,53.05,4.95,0.0,3.11,0.0,9.1,40.89,88.84,89.99,91.78,76.03,100.0,5609.44,60.09,50.87,94.51,77.97,22.03,2.88,1.24,11.59,23.0,6.99,2.7,18.48,4.16,10.07,49.95,56.81,37.84,48.85,51.39,19.14,18.25,29.16,33.32,13.31,8.36,1.09,5.49,21.41,0.49,22.9,0.926,33.0,31.0
Tiruppur,Tamil Nadu,17.79,1114.27,1016.48,99.45,99.79,75.88,95.4,98.31,59.86,55.09,10.51,5.13,98.51,69.32,66.02,59.74,3.83,0.13,1.82,0.0,4.55,37.55,87.35,93.54,95.03,74.19,100.0,5016.91,61.03,46.41,*,*,*,1.54,0.66,16.71,21.46,15.25,10.25,23.09,6.17,9.85,44.96,60.48,44.75,55.21,56.03,18.27,18.62,26.83,28.92,6.14,3.7,0.6,5.74,22.79,0.14,26.18,0.929,33.0,32.0
Adilabad,Telangana,24.81,991.99,784.72,99.17,95.65,50.84,81.59,97.58,63.62,41.04,21.41,7.83,77.87,54.26,54.13,50.18,0.0,1.2,1.53,0.0,10.12,12.01,32.55,74.78,90.93,21.81,94.07,4105.1,66.83,40.67,73.7,94.94,4.7,10.26,1.71,9.56,45.73,29.49,12.9,52.0,2.93,26.9,15.73,48.32,76.25,61.1,67.96,10.78,12.79,23.1,26.43,5.31,0.24,0.56,10.97,29.65,2.06,28.26,0.724,36.0,1.0
Bhadradri Kothagudem,Telangana,19.51,1081.65,816.74,99.37,99.06,75.33,89.16,97.65,59.37,41.78,20.8,13.01,92.87,74.97,74.04,68.2,0.34,0.92,1.37,0.3,3.78,18.25,51.25,70.13,91.19,42.3,98.56,3255.03,53.85,57.96,87.04,98.21,1.79,9.17,1.03,12.44,28.41,21.84,9.03,25.25,3.69,14.87,31.04,48.71,69.33,68.71,79.27,18.34,18.39,29.61,30.12,3.4,0.0,3.19,4.68,28.35,2.89,38.75,0.823,,
Hyderabad,Telangana,22.98,959.0,844.13,99.92,99.56,84.43,99.54,97.41,48.9,63.16,10.62,2.2,94.2,71.82,70.01,64.6,1.84,1.86,1.09,0.0,6.07,18.52,58.23,69.93,89.6,38.38,94.38,2814.5,48.27,59.65,91.61,84.29,5.34,0.97,0.76,4.78,30.41,17.67,8.01,18.91,4.33,12.43,51.04,43.89,63.57,52.65,70.61,21.22,26.8,30.22,41.7,2.3,0.0,5.92,1.67,12.4,0.68,27.95,0.953,36.0,22.0
Jagitial,Telangana,24.05,1219.33,955.26,99.29,97.33,76.49,94.72,96.48,59.22,43.46,28.43,3.06,90.16,57.42,56.48,47.69,0.84,0.65,0.83,0.0,13.39,17.31,23.96,81.85,87.89,36.28,95.5,3494.25,39.81,68.07,94.04,93.84,6.16,4.11,0.42,13.62,29.85,17.5,8.41,32.29,5.46,22.45,26.03,43.2,59.85,56.32,66.16,15.51,19.5,25.46,31.3,6.67,0.97,3.36,11.17,23.45,2.59,47.64,0.872,,
Jangoan,Telangana,19.12,1066.22,1089.08,99.28,99.37,84.34,91.09,96.81,71.68,44.04,20.33,6.5,93.55,70.96,70.4,67.24,0.32,0.3,0.42,0.0,4.56,19.52,33.93,65.41,86.08,34.8,98.85,4741.23,49.63,79.13,91.22,100,0.01,10.82,2.74,10.72,33.4,22.87,10.12,30.89,6.42,18.19,24.14,41.09,69.47,57.45,58.77,14.35,18.32,26.11,28.96,3.12,0.18,0.18,4.13,27.08,11.29,60.56,0.919,,
Jayashankar Bhupalapally,Telangana,18.53,1078.93,902.5,99.33,95.14,65.58,90.31,97.68,71.47,36.33,24.86,13.16,90.81,64.76,64.34,51.03,0.0,0.54,1.0,0.15,6.99,13.53,47.1,72.72,94.08,35.26,93.99,5992.72,61.32,64.3,97.21,97.4,2.6,6.98,1.89,12.62,32.45,31.83,14.55,36.67,1.41,17.67,22.36,46.29,67.93,65.88,64.94,13.51,17.37,28.41,31.54,7.3,0.83,4.9,5.56,27.41,4.26,53.06,0.807,,
Jogulamba Gadwal,Telangana,26.82,1036.52,852.63,99.79,96.98,73.73,86.1,85.31,61.75,27.41,34.6,15.85,77.33,75.53,74.85,71.45,0.47,0.2,0.13,0.0,2.62,24.72,43.34,72.91,92.57,27.61,96.51,2832.13,46.46,41.7,92.33,98.81,1.19,5.41,3.68,7.22,49.7,17.29,4.89,41.73,2.79,27.51,21.89,29.86,82.39,64.55,66.92,9.27,14.34,21.49,29.68,2.37,0.49,3.18,9.72,23.69,7.14,34.56,0.801,,
Kamareddy,Telangana,23.43,1103.84,869.62,99.45,99.37,68.18,82.3,93.59,66.5,35.62,30.81,1.11,88.3,56.83,56.83,55.88,0.32,0.17,0.33,0.0,9.79,9.44,44.39,79.5,90.6,28.32,96.84,5956.81,59.09,55.42,84.1,98.03,1.97,7.1,1.38,11.67,33.36,34.47,17.87,43.94,3.06,21.65,21.04,41.29,71.56,58.93,65.53,12.88,17.5,27.66,29.07,1.99,0.6,1.6,5.63,25.67,16.71,41.82,0.79,36.0,15.0
Karimnagar,Telangana,20.07,1065.04,932.93,99.69,98.27,78.83,94.87,99.09,58.57,50.8,11.87,7.57,94.09,56.76,56.44,44.35,0.13,0.13,0.62,0.0,9.99,14.53,24.33,69.64,85.2,38.57,88.24,4572.66,34.15,82.4,74.53,89.3,10.7,13.49,2.07,10.32,30.26,13.88,4.84,27.49,5.85,20.55,28.78,30.35,70.83,61.07,73.21,16.82,19.97,24.96,34.69,4.94,0.11,1.6,5.66,19.28,5.58,49.82,0.912,36.0,13.0
Khammam,Telangana,18.97,1060.75,905.4,99.7,98.41,84.48,97.11,96.6,60.36,40.88,34.97,10.92,95.38,78.72,76.22,73.8,0.15,0.42,0.84,0.0,3.32,25.81,54.87,76.25,97.25,34.86,99.35,3771.37,39.01,69.22,94.3,96.05,3.95,6.65,9.32,8.68,22.15,24.65,15.04,26.23,6.03,12.76,36.08,54.99,60.46,62.36,61.69,17.73,17.72,27.61,30.78,2.19,0.33,2.08,2.0,19.54,1.34,31.77,0.883,36.0,31.0
Komaram Bheem Asifabad,Telangana,23.65,1024.43,916.98,97.83,93.55,54.03,85.76,92.87,63.55,28.73,25.03,4.58,79.6,49.41,49.13,46.87,0.14,0.48,0.78,0.16,6.76,12.54,32.99,68.81,91.83,18.76,96.71,4120.59,55.73,27.24,93.48,96.49,3.51,7.05,2.21,9.4,38.05,35.65,14.36,41.09,2.66,25.68,14.0,38.96,70.67,67.28,74.5,8.42,11.62,21.81,27.18,0.9,0.25,1.16,12.76,37.67,2.97,38.41,0.679,,
Mahabubabad,Telangana,21.81,1066.73,885.07,99.62,98.23,68.55,86.58,96.16,69.26,34.7,28.29,6.63,92.76,75.44,74.73,68.9,0.0,0.41,0.27,0.0,4.69,16.32,59.5,67.74,93.98,32.35,98.1,3233.94,41.52,73.96,96.84,100,0.01,11.15,1.46,3.36,32.98,19.29,5.19,26.31,3.57,18.58,23.74,48.04,81.07,62.76,70.29,14.14,16.45,21.9,28.79,1.8,0.52,1.96,5.0,28.08,12.63,56.53,0.832,36.0,10.0
Mahabubnagar,Telangana,27.79,1035.06,788.53,99.38,99.64,73.72,85.89,94.06,70.27,40.35,23.4,9.15,95.64,71.97,70.12,67.98,0.3,0.08,0.44,0.0,2.73,31.38,48.31,62.6,90.22,45.46,98.7,2369.14,59.17,43.4,98.14,90.72,1.53,4.04,2.43,5.4,42.63,17.81,8.73,32.99,4.14,24.01,24.01,40.34,82.62,54.69,61.17,10.78,14.18,24.19,26.45,2.19,0.0,1.39,7.47,25.3,8.02,42.85,0.857,,
Mancherial,Telangana,19.45,1065.03,909.1,99.64,95.62,78.14,93.05,97.73,64.4,48.75,13.98,3.68,88.07,55.28,55.28,53.93,0.16,0.17,0.0,0.17,11.26,9.48,32.99,64.7,89.56,49.03,93.57,3040.98,33.94,67.85,87.4,75.75,24.25,12.62,1.08,5.87,25.88,22.06,9.96,27.39,3.35,21.9,24.55,43.29,58.69,56.67,62.32,14.19,16.11,27.89,32.03,1.84,0.16,1.9,6.45,22.38,1.91,44.06,0.874,36.0,3.0
Medak,Telangana,23.43,1051.19,847.92,99.37,99.87,78.16,80.13,97.1,61.19,39.33,31.81,6.54,89.31,57.35,55.72,53.91,0.0,0.3,0.74,0.0,7.39,9.12,51.42,68.52,81.3,23.4,97.67,6139.48,62.19,51.31,91.05,100,0.01,13.32,1.21,12.26,36.35,21.25,3.54,41.99,1.14,25.44,23.28,31.93,70.02,54.44,57.74,14.01,19.45,26.65,28.89,3.99,0.43,2.72,6.42,26.22,23.79,53.98,0.776,36.0,17.0
MedchalMalkajgiri,Telangana,23.14,995.75,827.98,100.0,99.94,86.17,98.99,98.79,53.75,59.33,10.17,3.08,97.13,76.42,72.42,65.82,0.91,1.37,1.31,0.62,3.72,25.36,57.85,69.62,92.24,31.79,96.19,3533.83,39.43,60.97,87.59,81.91,18.09,6.44,4.05,10.91,33.36,11.98,4.98,25.04,1.22,15.2,41.79,51.67,73.78,56.77,56.06,16.49,18.57,26.46,34.83,0.48,0.15,0.73,3.04,17.86,2.37,39.33,*,,
Nagarkurnool,Telangana,23.79,1065.5,770.76,99.91,99.6,73.15,87.32,92.0,68.61,35.97,32.12,5.25,96.63,77.31,76.52,73.23,0.77,0.58,0.55,0.16,3.89,27.05,58.34,75.13,88.47,41.14,97.0,2974.7,56.18,52.99,98.34,98.12,1.88,3.62,2.92,5.39,35.12,27.25,6.95,30.9,2.46,19.12,22.81,46.7,75.09,54.02,62.06,12.5,14.53,24.55,27.26,1.95,0.2,2.64,6.15,30.83,11.82,55.45,0.86,36.0,28.0
Nalgonda,Telangana,23.88,1016.58,883.18,99.88,99.24,76.36,94.6,87.45,64.79,40.9,28.16,6.0,96.85,78.45,77.16,75.07,0.43,0.48,0.72,0.0,2.04,23.56,62.78,65.72,91.82,40.12,98.65,4320.15,57.37,65.69,79.87,97.02,2.98,4.56,5.2,7.1,31.67,29.8,14.47,27.97,1.69,15.53,28.5,50.57,74.5,54.34,60.64,13.77,16.96,19.63,25.74,4.6,0.17,1.36,3.99,24.34,7.39,51.38,0.921,36.0,29.0
Nirmal,Telangana,22.68,1170.6,1137.5,99.46,98.3,63.63,88.83,95.06,49.93,40.91,23.34,9.64,78.73,59.32,58.49,53.79,0.64,0.99,0.43,0.15,6.7,9.2,39.37,69.65,91.22,34.63,96.94,5080.49,31.32,77.34,77.17,88.9,5.93,7.84,0.0,10.47,31.67,18.13,6.59,33.36,1.43,26.94,22.5,32.04,65.29,57.69,57.31,11.7,15.83,25.06,28.53,6.45,0.87,1.44,12.96,28.98,3.5,43.86,0.816,36.0,4.0
Nizamabad,Telangana,23.66,1132.1,941.03,99.88,99.42,72.54,92.36,96.86,52.31,42.44,23.71,3.84,88.79,60.28,56.83,52.4,0.0,1.23,1.48,0.43,9.38,8.58,60.36,78.53,80.0,28.16,96.16,5262.44,46.44,66.68,81.49,96.48,3.52,16.23,1.11,18.36,30.49,26.18,4.32,38.41,2.83,21.04,27.51,41.9,65.27,56.96,65.21,13.45,15.61,27.13,31.22,5.0,0.38,1.35,8.6,20.63,9.76,40.19,0.856,36.0,5.0
Peddapalli,Telangana,18.13,1027.61,913.06,99.54,97.98,77.81,96.58,97.75,59.14,46.63,13.57,4.62,93.2,66.14,64.76,59.96,0.11,0.52,0.32,0.31,8.32,16.87,44.47,77.88,87.04,41.9,92.91,3849.71,45.83,71.64,79.38,100,0.01,11.56,2.01,13.79,27.48,28.75,15.61,33.09,1.57,16.51,26.11,47.75,69.55,64.56,78.31,13.68,16.83,27.69,34.66,4.87,0.33,3.53,4.63,21.59,4.16,47.49,0.897,36.0,7.0
