district,state,pop_below_15,sex_ratio,sex_ratio_birth,hh_elec,hh_drnk_water,hh_sanitation,hh_fuel,hh_salt,hh_health_insurance,women_10yr_school,women_premarried,women_earlymother,women_menstrual,fam_contra,fam_modern_contra,fam_female_ster,fam_IUD,fam_pill,fam_condom,fam_injectibles,fam_unmet_need,fam_healthworkers,fam_sideeffects,mother_antenatal,mother_neonatal,mother_folic,mother_MCP,delivery_expense,institutional_birth,births_csection,child_vaccinated,child_public_vaccinated,child_private_vaccinated,child_diarrhoea,child_resp,child_diet,child_stunted,child_wasted,child_severely_wasted,child_underwght,child_overwght,women_lowBMI,women_highBMI,women_high_wh,child_anaemic,women_anaemic,young_women_anaemic,women_highBS,men_highBS,women_highBP,men_highBP,women_cervical,women_breast,women_oral,women_tobbaco,men_tobbaco,women_alc,men_alc,HDI,st,dc
Lohit,Arunachal Pradesh,27.67,1001.05,838.76,98.91,96.88,83.66,63.88,97.92,31.88,37.25,20.0,5.4,91.36,57.0,43.47,14.89,3.74,20.76,3.28,0.26,14.57,24.66,65.21,39.61,74.55,17.59,96.93,8236.16,84.57,19.67,76.97,98.16,0.01,7.52,1.72,20.81,24.46,12.71,4.92,12.91,7.61,8.0,30.93,66.58,52.48,47.21,51.5,9.46,9.1,22.06,26.6,1.05,1.27,1.13,17.78,52.97,20.92,50.01,0.768,12.0,15.0
Longding,Arunachal Pradesh,29.92,926.46,961.12,97.44,62.47,83.45,22.41,99.3,23.81,27.7,7.88,2.2,91.99,68.58,49.0,21.26,7.05,16.0,3.94,0.75,7.29,17.33,86.52,39.58,78.43,7.1,96.98,3777.62,62.79,4.21,75.19,85.82,0.01,0.45,0.76,19.98,15.75,20.61,14.21,13.77,4.23,4.04,13.65,62.01,38.37,34.12,37.74,10.46,14.48,20.5,31.11,0.0,0.0,0.0,16.0,56.09,21.77,55.16,0.539,,
Namsai,Arunachal Pradesh,30.3,982.16,867.32,96.45,93.53,75.11,28.7,99.13,30.86,22.19,26.71,11.3,93.0,69.51,48.08,16.65,2.16,24.56,4.36,0.0,8.71,14.58,74.54,35.37,76.73,8.93,94.57,4184.46,60.33,10.47,83.42,98.71,1.29,1.73,0.24,21.16,28.73,12.36,4.18,17.7,6.16,12.76,17.99,52.88,59.15,58.56,58.49,9.23,11.99,27.11,28.1,0.59,0.0,0.0,25.33,68.84,28.35,61.56,0.586,,
Siang,Arunachal Pradesh,21.84,967.97,1010.88,99.63,96.29,91.2,27.6,98.91,26.11,50.58,9.95,0.46,98.14,73.74,61.04,34.23,10.78,4.52,8.37,0.0,4.99,19.2,60.32,31.13,78.73,5.71,97.13,8477.81,79.02,5.83,*,*,*,2.67,0.88,17.32,21.29,12.13,6.97,8.82,12.98,6.49,15.81,76.39,24.91,23.94,23.36,8.02,9.4,24.36,31.52,1.19,0.22,0.22,19.61,55.54,27.3,60.64,0.682,,
Tirap,Arunachal Pradesh,26.83,963.97,865.11,98.77,93.81,86.67,50.42,98.28,30.84,40.2,12.04,4.04,88.41,56.14,39.4,17.09,2.89,17.62,1.03,0.33,10.64,27.06,65.2,35.68,73.93,14.48,97.56,12104.34,62.76,22.17,71.24,96.1,3.9,7.57,3.25,16.76,38.62,13.77,7.31,16.03,11.71,5.52,28.29,57.83,48.39,31.99,52.95,8.37,10.92,25.22,31.55,0.19,0.19,0.19,12.74,44.8,16.35,49.01,0.685,12.0,10.0
West Siang,Arunachal Pradesh,23.69,1018.03,1060.28,88.21,99.06,87.74,57.13,99.45,26.56,46.29,18.89,4.71,94.19,46.57,38.93,15.26,8.08,6.67,6.83,0.55,15.5,15.4,51.57,30.42,72.01,2.95,92.05,14222.34,79.77,17.83,60.01,100,0.01,3.11,2.21,20.72,24.49,15.07,8.1,16.23,14.91,4.44,27.39,72.72,45.58,30.54,36.68,9.12,11.21,32.74,41.13,0.38,0.08,0.4,16.86,44.31,26.87,49.82,0.779,12.0,6.0
Kokrajhar,Assam,29.49,1024.62,1003.13,93.94,87.3,72.2,43.32,99.6,50.18,27.54,36.21,11.29,72.28,72.34,57.95,5.99,4.09,44.04,3.21,0.5,10.01,18.74,51.33,36.93,95.77,26.4,98.35,3780.32,76.76,12.0,52.61,96.39,0,3.42,3.84,10.04,34.62,20.51,8.9,35.15,4.29,10.64,13.74,77.26,74.65,59.45,63.71,10.12,13.16,17.78,19.42,0.18,0.57,0.16,25.71,55.48,12.28,31.32,0.658,18.0,1.0
Goalpara,Assam,29.98,1006.91,1026.88,89.56,90.73,75.31,36.26,99.12,71.13,23.38,41.77,13.34,64.5,66.79,55.09,6.03,3.23,40.09,3.56,1.38,7.43,19.27,68.11,44.06,96.57,20.44,98.62,4407.01,87.22,16.19,72.71,100,0,7.75,2.13,7.54,38.92,24.28,14.25,35.4,5.35,12.17,15.32,68.26,60.69,64.88,66.94,10.23,13.21,16.77,17.85,0.17,0.17,0.0,15.6,52.01,5.02,16.15,0.607,18.0,3.0
Barpeta,Assam,30.05,1026.78,1007.49,88.87,98.14,63.65,38.66,96.26,58.9,31.66,40.09,14.16,61.53,57.32,47.36,5.48,2.02,35.34,3.6,0.68,12.26,18.37,55.07,43.59,94.86,21.84,99.06,4829.04,82.3,12.66,59.57,97.36,1.38,1.72,1.45,5.45,29.78,19.52,7.45,26.22,6.12,14.56,16.59,75.0,63.45,64.83,70.74,14.04,16.99,17.93,16.65,0.67,0.24,0.0,14.32,46.38,0.66,8.04,0.619,18.0,4.0
Morigaon,Assam,32.11,1054.51,1069.58,89.48,94.59,62.34,37.56,96.96,62.52,24.45,39.09,11.56,69.12,70.61,56.7,6.04,3.83,39.6,5.51,0.97,6.51,27.02,66.38,41.95,94.77,18.39,98.69,4378.97,82.82,12.32,82.87,98.58,0,5.36,5.94,8.62,43.23,16.1,7.5,30.46,4.34,15.03,14.21,74.11,53.31,64.24,71.77,10.26,14.17,20.05,20.52,0.17,0.17,0.17,29.85,56.93,1.88,15.56,0.574,18.0,5.0
Lakhimpur,Assam,28.09,982.98,984.87,97.21,81.22,74.22,36.07,99.9,66.97,42.11,36.33,8.19,79.71,67.05,43.59,10.83,2.97,23.52,5.85,0.14,9.81,30.79,80.34,51.67,97.3,14.87,99.6,5097.62,91.64,22.73,72.41,100,0,3.7,3.9,7.93,38.5,18.23,7.47,34.36,2.28,17.29,12.4,58.71,69.34,65.42,71.48,9.31,9.39,20.75,25.01,0.0,0.0,0.0,27.19,55.81,15.5,39.94,0.64,18.0,8.0
Dhemaji,Assam,30.64,1027.58,1022.24,95.01,95.25,70.75,21.57,99.64,66.83,43.64,32.04,10.81,74.7,72.55,45.02,14.55,3.8,23.86,1.56,1.25,7.11,28.16,67.01,62.16,96.47,14.6,98.9,5167.61,84.14,16.11,90.79,98.31,0,0.92,2.97,6.78,37.18,18.26,10.07,25.67,3.53,12.05,15.58,57.11,73.06,62.88,59.29,7.81,13.33,15.96,24.09,0.0,0.0,0.0,26.24,62.68,30.55,59.45,0.591,18.0,9.0
Tinsukia,Assam,25.37,1022.82,884.46,95.7,96.84,66.65,40.87,99.31,60.02,25.64,19.82,6.1,74.61,59.23,36.48,16.66,2.95,13.4,2.05,0.5,11.02,17.56,72.2,63.14,93.86,19.2,100.0,5162.8,66.23,26.45,78.76,82.13,6.04,4.87,1.99,16.27,32.82,21.5,9.4,32.15,2.65,17.6,16.9,66.47,66.37,72.84,71.52,13.91,19.47,17.09,19.27,0.0,0.17,0.17,23.13,51.12,15.65,43.7,0.653,18.0,10.0
Dibrugarh,Assam,24.03,1002.19,979.12,94.38,98.06,75.28,44.74,99.49,58.82,33.65,23.02,4.81,79.83,64.64,43.62,24.32,2.98,10.65,4.52,0.53,8.73,28.91,76.47,75.64,94.09,28.04,99.59,5124.7,71.64,27.74,85.45,87.17,7.59,5.8,2.49,5.63,27.33,20.64,8.43,31.96,2.0,20.29,20.88,58.7,66.44,70.79,64.33,15.39,19.2,18.07,21.39,0.0,0.21,0.54,27.85,57.74,19.04,51.86,0.678,18.0,11.0
Golaghat,Assam,24.3,1001.77,1145.17,96.37,93.7,73.14,33.12,98.73,69.34,27.86,20.74,9.5,70.56,61.62,35.66,13.19,3.06,13.04,5.61,0.16,10.9,25.33,63.31,65.74,97.7,26.15,100.0,5186.26,81.38,22.56,75.9,95.51,2.21,7.95,4.11,4.42,26.28,19.19,5.35,25.5,2.43,25.14,16.04,51.18,75.14,77.15,74.69,11.62,14.4,20.48,21.96,0.17,0.17,0.17,21.55,51.97,10.41,38.21,0.609,18.0,14.0
Dima Hasao,Assam,27.7,959.26,908.29,95.87,50.15,83.79,48.18,99.4,61.87,42.36,16.49,5.41,79.06,65.48,44.91,10.21,3.98,27.04,3.11,0.0,9.72,18.29,66.62,46.88,96.81,17.64,99.18,4825.28,84.61,19.7,63.77,98.1,0.01,7.03,2.74,8.65,30.59,23.61,11.33,21.69,12.46,10.02,16.2,53.82,73.09,60.49,70.87,9.84,13.25,17.05,23.48,0.0,0.0,0.0,21.32,55.22,23.91,57.24,0.699,18.0,16.0
Cachar,Assam,30.89,1012.38,991.36,81.73,43.79,57.64,42.96,98.57,57.87,25.83,29.86,8.47,57.82,47.95,38.15,6.87,1.02,22.92,6.11,0.64,15.64,23.63,82.2,32.69,90.04,12.04,98.18,3799.16,74.91,12.49,82.09,98.55,0,4.21,2.06,2.71,28.67,30.67,12.53,38.21,3.26,19.67,9.12,79.08,61.78,57.36,57.62,13.12,14.44,16.99,15.42,0.18,0.0,0.18,33.16,51.0,2.48,14.62,0.601,18.0,17.0
